score,sid,uid
5,704547,1339442
5,704547,126315740
5,704547,174256729
5,704547,174256729
4,704547,178006733
5,704547,268829631
5,704547,174256729
4,704547,174256729
0,704547,236251950
5,704547,174256729
5,711578,263520701
5,711578,1827938
5,711578,184175534
4,711578,151066706
5,711578,132061782
5,711578,132065244
4,711578,151458318
5,711578,227613278
5,711578,288491243
5,711578,217866653
4,704544,147083550
5,704544,225569740
5,704544,208596640
5,704544,217866653
3,704544,892687
5,704544,1348354
5,704544,279688
0,704544,227145920
0,704544,1193229730
4,704544,8214312
5,18700089,158928832
5,18700089,288491243
4,18700089,173869225
5,18700089,279688
2,18700089,245809275
3,18700089,276286736
5,18700089,234593884
0,18700089,5566354
0,18700089,167876642
0,18700089,389244732
5,701768,155332423
5,701768,2485930
5,701768,1077169
5,701768,158928832
4,701768,276506317
5,701768,138534722
5,701768,174256729
5,701768,269401391
4,701768,222034740
5,701768,158668754
5,713643,184175534
3,713643,593370
4,713643,5797860
0,713643,162144130
0,713643,166712753
0,713643,126541446
0,713643,128517102
0,713643,152103839
0,713643,150325132
0,713643,199420226
2,711537,128224388
4,711537,152382087
5,711537,169152670
4,711537,8091630
5,711537,189532444
5,711537,300693437
4,711537,144484526
5,711537,1173442
5,711537,142523021
5,711537,172955942
