sid,uid,score
704547,1339442,5
704547,126315740,5
704547,174256729,5
704547,174256729,5
704547,178006733,4
704547,268829631,5
704547,174256729,5
704547,174256729,4
704547,236251950,0
704547,174256729,5
711578,263520701,5
711578,1827938,5
711578,184175534,5
711578,151066706,4
711578,132061782,5
711578,132065244,5
711578,151458318,4
711578,227613278,5
711578,288491243,5
711578,217866653,5
704544,147083550,4
704544,225569740,5
704544,208596640,5
704544,217866653,5
704544,892687,3
704544,1348354,5
704544,227145920,0
704544,1193229730,0
704544,1193229730,0
704544,8214312,4
18700089,288491243,5
18700089,173869225,4
18700089,279688,5
18700089,245809275,2
18700089,276286736,3
18700089,234593884,5
18700089,5566354,0
18700089,167876642,0
18700089,389244732,0
18700089,211076077,0
701768,155332423,5
701768,2485930,5
701768,1077169,5
701768,158928832,5
701768,276506317,4
701768,138534722,5
701768,174256729,5
701768,269401391,5
701768,222034740,4
701768,158668754,5
713643,184175534,5
713643,593370,3
713643,5797860,4
713643,162144130,0
713643,166712753,0
713643,126541446,0
713643,128517102,0
713643,152103839,0
713643,150325132,0
713643,199420226,0
711537,128224388,2
711537,152382087,4
711537,169152670,5
711537,8091630,4
711537,189532444,5
711537,300693437,5
711537,144484526,4
711537,1173442,5
711537,142523021,5
711537,172955942,5
712260,174256729,5
712260,143068437,5
712260,10724,5
712260,147083550,3
712260,174256729,5
712260,122509666,4
712260,593370,4
712260,155760450,4
712260,637774,0
712260,150242583,0
713347,139781428,0
713347,169322219,5
713347,153945299,5
713347,156349036,5
713347,200223431,4
713347,2133854,4
713347,300693437,5
713347,277985577,5
713347,269401391,5
713347,197355817,4
9479108,173283530,5
9479108,173283530,5
26577263,281338177,0
26577263,129364504,0
26577263,216582241,0
26577263,172160270,0
26577263,208033371,0
26577263,377191647,0
26577263,147028358,0
26577263,144685238,0
26577263,224320824,0
26577263,579623762,0
711873,169322219,5
711873,153945299,5
711873,156349036,5
711873,200223431,4
711873,2133854,4
711873,300693437,5
711873,277985577,5
711873,269401391,5
711873,189532444,5
711873,288491243,5
701741,237975173,5
701741,143068437,5
701741,126880782,4
701741,186496442,0
701741,168745503,5
701741,139242968,4
701741,182612141,4
701741,122509666,4
701741,189510678,5
701741,144484526,2
715147,1339442,5
715147,126315740,5
715147,178006733,4
715147,226423677,5
715147,200223431,4
715147,122509666,4
715147,178817694,4
715147,165208361,0
715147,230726074,5
715147,129963744,0
709760,123746918,4
709760,399833763,5
709760,147083550,3
709760,146892686,4
709760,189532444,5
709760,141259718,5
709760,233319696,0
709760,279688,5
709760,222867017,0
709760,181968510,4
702435,152117387,5
702435,122509666,3
702435,2522580,0
702435,4096542,0
702435,1312641,0
702435,2476616,0
702435,2734560,0
702435,47907,0
702435,121841654,0
702435,7435714,0
5475393,189532444,5
5475393,219753946,4
5475393,174256729,5
5475393,139781428,0
5475393,200435612,5
5475393,157823827,4
5475393,232727638,0
5475393,212525328,0
5475393,184893626,4
5475393,136373564,5
7568544,288491243,5
7568544,3567186,5
7568544,155760450,4
7568544,123746918,4
7568544,130048500,3
7568544,123594028,3
7568544,189532444,5
7568544,271658568,5
7568544,171395543,4
7568544,246729823,3
720358,123746918,4
720358,123746918,4
720358,152117387,5
720358,279688,5
720358,399833763,5
720358,169152670,3
720358,7084394,5
720358,200223431,4
720358,149866532,4
720358,155760450,4
7468896,1172836795,0
7468896,155760450,4
7468896,612963,0
7468896,294680973,0
7468896,201551311,0
7468896,188427557,0
7468896,2107577,0
7468896,7181418,0
7468896,156539575,0
7468896,150059391,0
7644866,159231622,0
7644866,147519328,0
7644866,221400540,0
7644866,438018,0
7644866,208887859,0
7644866,235773278,0
7644866,174619495,0
7644866,151833246,0
7644866,210416579,0
7644866,147391612,0
7335851,199900889,5
7335851,892687,3
7335851,143580165,0
7335851,132651284,0
7335851,322969218,0
7335851,884169,0
7335851,241917977,0
7335851,146533298,0
7335851,447370244,0
7335851,176094650,0
